trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,fixation.started,image_2.started,fixation_2.started,image.stopped,fixation.stopped,image_2.stopped,fixation_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10.015843416003918,10.015843416003918,10.10461245800252,10.10461245800252,,,,,129090,001,2023-03-17_11h05.33.182,simple VEP,2022.2.4,None,
1,0,1,0,10.191549750001286,10.191549750001286,10.287620832998073,10.287620832998073,10.287620832998073,10.287620832998073,10.377652208000654,10.377652208000654,129090,001,2023-03-17_11h05.33.182,simple VEP,2022.2.4,None,
2,0,2,0,10.377652208000654,10.377652208000654,10.47783170799812,10.47783170799812,10.47783170799812,10.47783170799812,10.578688958004932,10.578688958004932,129090,001,2023-03-17_11h05.33.182,simple VEP,2022.2.4,None,
3,0,3,0,10.578688958004932,10.578688958004932,10.677869125000143,10.677869125000143,10.677869125000143,10.677869125000143,10.787879750001593,10.787879750001593,129090,001,2023-03-17_11h05.33.182,simple VEP,2022.2.4,None,
4,0,4,0,10.787879750001593,10.787879750001593,10.877038582999376,10.877038582999376,10.877038582999376,10.877038582999376,10.970762625001953,10.970762625001953,129090,001,2023-03-17_11h05.33.182,simple VEP,2022.2.4,None,
5,0,5,0,10.976342583002406,10.976342583002406,11.078691750000871,11.078691750000871,11.072068708002917,11.072068708002917,11.176986582999234,11.176986582999234,129090,001,2023-03-17_11h05.33.182,simple VEP,2022.2.4,None,
6,0,6,0,11.176986582999234,11.176986582999234,11.277712000002794,11.277712000002794,11.271351208000851,11.271351208000851,11.378363875002833,11.378363875002833,129090,001,2023-03-17_11h05.33.182,simple VEP,2022.2.4,None,
7,0,7,0,11.378363875002833,11.378363875002833,11.476477083000646,11.476477083000646,11.476477083000646,11.476477083000646,11.57078808300139,11.57078808300139,129090,001,2023-03-17_11h05.33.182,simple VEP,2022.2.4,None,
8,0,8,0,11.576495833003719,11.576495833003719,11.676433291002468,11.676433291002468,11.670667291000427,11.670667291000427,11.776960750001308,11.776960750001308,129090,001,2023-03-17_11h05.33.182,simple VEP,2022.2.4,None,
9,0,9,0,11.776960750001308,11.776960750001308,11.876003791003313,11.876003791003313,11.870890750004037,11.870890750004037,11.970961833001638,11.970961833001638,129090,001,2023-03-17_11h05.33.182,simple VEP,2022.2.4,None,
