trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,fixation.started,image_2.started,fixation_2.started,image.stopped,fixation.stopped,image_2.stopped,fixation_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,12.19956029199966,12.19956029199966,12.29763625000487,12.29763625000487,,,,,416351,001,2023-03-17_11h12.34.700,simple VEP,2022.2.4,None,
1,0,1,0,12.381562041999132,12.381562041999132,12.47692591699888,12.47692591699888,12.47692591699888,12.47692591699888,12.56717841700447,12.56717841700447,416351,001,2023-03-17_11h12.34.700,simple VEP,2022.2.4,None,
2,0,2,0,12.56717841700447,12.56717841700447,12.666738209001778,12.666738209001778,12.666738209001778,12.666738209001778,12.768114834005246,12.768114834005246,416351,001,2023-03-17_11h12.34.700,simple VEP,2022.2.4,None,
3,0,3,0,12.768114834005246,12.768114834005246,12.865139834000729,12.865139834000729,12.865139834000729,12.865139834000729,12.960381875003804,12.960381875003804,416351,001,2023-03-17_11h12.34.700,simple VEP,2022.2.4,None,
4,0,4,0,12.966210874998069,12.966210874998069,13.06503816699842,13.06503816699842,13.060071416999563,13.060071416999563,13.162499584002944,13.162499584002944,416351,001,2023-03-17_11h12.34.700,simple VEP,2022.2.4,None,
5,0,5,0,13.177941959002055,13.177941959002055,13.276882417005254,13.276882417005254,13.276882417005254,13.276882417005254,13.368029541998112,13.368029541998112,416351,001,2023-03-17_11h12.34.700,simple VEP,2022.2.4,None,
6,0,6,0,13.368029541998112,13.368029541998112,13.466257500003849,13.466257500003849,13.466257500003849,13.466257500003849,13.567571459003375,13.567571459003375,416351,001,2023-03-17_11h12.34.700,simple VEP,2022.2.4,None,
7,0,7,0,13.567571459003375,13.567571459003375,13.66488670900435,13.66488670900435,13.66488670900435,13.66488670900435,13.7600879169986,13.7600879169986,416351,001,2023-03-17_11h12.34.700,simple VEP,2022.2.4,None,
8,0,8,0,13.7657862499982,13.7657862499982,13.865992084000027,13.865992084000027,13.86008583399962,13.86008583399962,13.960248374998628,13.960248374998628,416351,001,2023-03-17_11h12.34.700,simple VEP,2022.2.4,None,
9,0,9,0,13.965275292001024,13.965275292001024,14.065500625001732,14.065500625001732,14.060344666999299,14.060344666999299,14.160431917000096,14.160431917000096,416351,001,2023-03-17_11h12.34.700,simple VEP,2022.2.4,None,
10,0,10,0,14.165623500004585,14.165623500004585,14.26546645900089,14.26546645900089,14.260435750002216,14.260435750002216,14.36009304199979,14.36009304199979,416351,001,2023-03-17_11h12.34.700,simple VEP,2022.2.4,None,
11,0,11,0,14.364760000004026,14.364760000004026,14.464086625004711,14.464086625004711,14.459881916998711,14.459881916998711,14.560197250000783,14.560197250000783,416351,001,2023-03-17_11h12.34.700,simple VEP,2022.2.4,None,
12,0,12,0,14.566131500003394,14.566131500003394,14.664206166999065,14.664206166999065,14.660169458999007,14.660169458999007,14.760267625002598,14.760267625002598,416351,001,2023-03-17_11h12.34.700,simple VEP,2022.2.4,None,
13,0,13,0,14.765514124999754,14.765514124999754,14.864941874999204,14.864941874999204,14.860411583998939,14.860411583998939,14.960364083999593,14.960364083999593,416351,001,2023-03-17_11h12.34.700,simple VEP,2022.2.4,None,
14,0,14,0,14.96556320899981,14.96556320899981,15.065612042002613,15.065612042002613,15.06048629200086,15.06048629200086,15.167416417003551,15.167416417003551,416351,001,2023-03-17_11h12.34.700,simple VEP,2022.2.4,None,
15,0,15,0,15.167416417003551,15.167416417003551,15.264265792000515,15.264265792000515,15.264265792000515,15.264265792000515,15.35979291699914,15.35979291699914,416351,001,2023-03-17_11h12.34.700,simple VEP,2022.2.4,None,
16,0,16,0,15.365408334000676,15.365408334000676,15.464522709000448,15.464522709000448,15.460014292002597,15.460014292002597,15.56033841700264,15.56033841700264,416351,001,2023-03-17_11h12.34.700,simple VEP,2022.2.4,None,
